frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
108708,108707,108717,580,1,TAP,108753,false
108875,108874,108884,581,2,TAP,108922,false
109042,109041,109051,582,3,LEFT,109088,false
109209,109208,109219,583,2,TAP,109260,false
109375,109374,109385,584,3,TAP,109428,false
109542,109541,109552,585,2,TAP,109596,false
109725,109724,109735,586,1,TAP,109764,false
109892,109891,109901,587,2,TAP,109934,false
110058,110057,110068,588,3,TAP,110101,false
110225,110224,110234,589,2,TAP,110270,false
110392,110391,110403,590,3,UP,110437,false
110558,110557,110568,591,2,TAP,110608,false
110725,110724,110736,592,3,UP,110773,false
110892,110891,110901,593,2,TAP,110944,false
111058,111057,111064,594,3,UP,111110,false
111242,111241,111250,595,2,TAP,111282,false
111409,111408,111417,596,1,TAP,111450,false
111575,111574,111584,597,2,TAP,111618,false
111742,111741,111751,598,3,LEFT,111785,false
111908,111907,111918,599,2,TAP,111956,false
112075,112074,112085,600,3,TAP,112125,false
112242,112241,112252,601,2,TAP,112293,false
112408,112407,112417,602,1,TAP,112461,false
112592,112591,112602,603,2,TAP,112631,false
112759,112758,112768,604,3,TAP,112799,false
112925,112924,112935,605,2,TAP,112967,false
113091,113090,113100,606,3,UP,113133,false
113259,113258,113268,607,2,TAP,113305,false
113425,113424,113434,608,3,UP,113470,false
113592,113591,113601,609,2,TAP,113642,false
